Site_Code,Location,mean_GWC,K_mg_per_kg,SO4-S_mg_per_kg,B_mg_per_kg,Zn_mg_per_kg,Mn_mg_per_kg,Cu_mg_per_kg,Fe_mg_per_kg,Ca_Meq_per_100_g,Mg_Meq_per_100_g,Na_Meq_per_100_g,Total_Bases_Meq_per_100_g,CEC_Meq_per_100_g,TKN_pct,Total_Sulfur_pct,Total_Nitrogen_pct,Total_Carbon_pct,C_to_N_ratio,NO3-N_mg_per_g_of_soil_mean,NH4-N_mg_per_g_of_soil_mean,P_Bicarb_mg_per_g_of_soil_mean,pH,Sand_pct,Silt_pct,Clay_pct,WEOC_mean,WETN_mean,MBC_mean,MBN_mean
OSBS,TOP,1.062,92,2,0.14,0.2,2.3,0.1,33,1.59,0.5,0.1,2.43,1.7,0.058,30.12,0.058,0.818,14.103,0.0004,0.001,0.0017,5.08,91.3,1.9,6.9,0.032539707,0.002599137,0.0768026,0.009688609
PETF,BTM,,11,10,0.31,1.6,10.2,0.7,40,3.64,0.64,0.1,4.41,4.87,0.136,69.88,0.136,1.26,9.265,,,,6.42,40.11,41.92,17.97,0.114641153,0.010237033,,
PETF,TOP,,56,10,0.2,1,6.1,0.5,95,3.61,0.95,0.09,4.79,7.79,0.219,152.63,0.219,2.192,10.009,,,,5.81,42.01,39.99,18,0.173208606,0.019539568,,
PHTU,BTM,1.205,68,3,0.13,1.2,0.8,0.3,26,4.18,0.35,0.04,4.74,15.38,0.083,16.56,0.083,1.393,16.783,0.0004,0.0007,0.008,7.08,80.05,9.97,9.97,0.099162597,0.013443843,0.075642246,0.011870366
PHTU,TOP,1.168,34,6,0.11,0.4,1.7,0.5,35,4.32,0.46,0.04,4.91,5.89,0.127,72.86,0.127,1.701,13.394,0.0006,0.0008,0.0078,7.09,88.03,3.99,7.98,0.063249206,0.021716194,0.131992705,0.024465237
PPRH,BTM,1.204,86,14,0.58,6.7,11.1,4.3,50,10.04,1.52,0.13,11.91,11.83,0.164,222,0.164,10.648,64.927,0.0007,0.0006,0.0141,6.71,40.53,38.97,20.51,0.013609893,0.003853524,0.072982726,0.007739399
PPRH,TOP,1.36,115,3,0.08,0.6,2,0.7,48,11.41,2.07,0.08,13.85,9.43,0.283,240.2,0.283,3.02,10.671,0.0016,0.0012,0.019,6.42,26.03,55.98,17.99,0.023908721,0.036239727,0.089148821,0.017333335
PRS1,BTM,1.144,553,2,0.35,0.6,3.4,0.6,10,15.3,2.68,0.1,19.5,14.62,0.229,246.17,0.229,2.311,10.092,8,1.24,,7.71,60.09,27.94,11.97,0.184144014,0.023571796,0.739156877,0.090099766
PRS1,TOP,1.129,598,8,0.51,4.6,3.9,2.5,16,11.13,1.74,0.15,14.55,25.99,0.089,116.67,0.089,0.854,9.596,1.11,1.45,,7.75,58.02,31.99,10,0.069982235,0.008407814,0.181980888,0.028710084
PRS2,BTM,1.112,360,5,0.92,1.8,7.8,0.6,15,11.44,2.02,0.1,14.48,12.4,0.039,72.41,0.039,0.25,6.41,8.25,0.66,,8.58,54.02,35.99,10,0.050121576,0.013279896,0.140250895,0.043658926
PRS2,TOP,1.138,1498,11,0.76,1.4,4.8,0.6,15,9.98,2.49,0.09,16.4,13.23,0.18,188.92,0.18,1.728,9.6,4.15,1.91,,8.09,56.1,31.93,11.97,0.153644175,0.021318226,0.604626004,0.094775122
RMNP,BTM,1.029,111,2,0.25,0.2,1.2,0.1,77,2.65,0.52,0.05,3.5,5.79,0.075,41.81,0.075,0.694,9.253,0.0003,0.0008,0.0161,5.67,65.1,21.8,13.1,0.134751967,0.004909709,0.100621758,0.006111895
RMNP,TOP,1.052,86,2,0.26,0.3,1.1,0.1,71,2.96,0.53,0.05,3.76,6.21,0.08,31.03,0.08,0.797,9.962,0.0015,0.0015,0.0359,5.55,67.2,23.8,9.1,0.106416514,0.006733148,0.201604375,0.021298819
SCBI,BTM,1.188,165,6,0.18,0.5,17.2,1.7,36,5.11,2.6,0.06,8.19,12.34,0.104,25.78,0.104,0.489,4.702,0.0011,0.0011,0.0022,6.37,27.1,33.8,39.1,0.032738694,0.003065387,0.019062423,0.003916335
SCBI,TOP,1.319,240,13,0.58,6,42.9,3.2,96,10.73,2.95,0.06,14.36,21.73,0.431,73.1,0.431,4.036,9.364,0.0017,0.0049,0.0037,6.72,27.1,39.8,33.1,0.252448858,0.038898963,0.114399415,0.042280682
SERC,BTM,1.264,125,28,0.45,1.6,8.3,0.7,158,1.35,0.61,0.09,2.37,11.89,0.12,135.59,0.12,1.286,10.717,0.0006,0.0016,0.0307,4.61,45.1,27.8,27.1,0.076426736,0.003924392,0.123107861,0.014594832
SERC,TOP,1.551,194,23,0.36,4.5,35.5,1.7,153,3.55,1.44,0.13,5.62,19.03,0.27,230.41,0.27,3.959,14.663,0.0005,0.0031,0.0192,5.34,39.1,37.8,23.1,0.203901569,0.012623594,0.388855328,0.088745081
SJER,BTM,1.013,350,3,0.32,1,7.2,0.2,52,3.81,0.58,0.06,5.35,6.58,0.129,107.04,0.129,0.998,7.736,0.001,0.0012,0.014,6.61,65.1,23.9,11,0.090378612,0.008347549,0.082253066,0.013318049
SJER,TOP,1.01,460,5,0.47,2.7,20.3,0.3,75,5.85,0.79,0.11,7.93,12.82,0.281,164.38,0.281,2.852,10.149,0.0019,0.0032,0.0228,6.72,63.1,24,13,0.152412437,0.016298107,0.332801255,0.057211563
SOAP,BTM,1.101,245,2,0.18,0.01,2.6,0.1,25,1.81,0.25,0.08,2.77,10.74,0.101,80.29,0.101,0.935,9.257,0.0003,0.0018,0.0136,6.5,65.1,21.9,13.1,0.007885888,0.003223234,0.086618458,0.010169962
SOAP,TOP,1.147,322,5,0.31,0.9,10,0.2,39,4.1,0.75,0.1,5.78,3.46,0.229,164.02,0.229,4.303,18.79,0.0004,0.003,0.019,5.93,61.1,27.9,11.1,0.083506696,0.032537685,0.344316852,0.035953753
SRER,BTM,1.008,133,6,0.49,0.3,2,4,2,14.14,0.9,0.08,15.46,16.76,0.071,451.44,0.071,3.222,45.38,,,2.02,8.68,65.1,18,17,0.048013942,0.004590999,0.098364482,0.00883071
SRER,TOP,1.001,199,2,0.36,0.5,2.4,2.9,3,13.11,0.53,0.08,14.23,6.42,0.032,378,0.032,2.434,76.062,,,4,8.57,65.2,23.9,11,0.044120161,0.00335408,0.098040442,0.011787939
SRR1,BTM,1.032,205,8,0.25,0.3,6.1,0.6,21,3.95,1.26,0.15,5.89,6.31,0.072,87.48,0.072,0.303,4.208,0.0008,0.0012,0.0038,6.89,65,14,21,0.028741116,0.002006422,0.034346724,0.004523831
SRR1,TOP,1.002,122,6,0.16,1.3,20.3,0.9,14,1.55,0.51,0.08,2.45,2.87,0.065,107.77,0.065,0.339,5.215,0.0009,0.0008,0.0027,7.75,73,12,15.1,0.029918004,0.001982196,0.040761493,0.005676429
STEI,BTM,1.228,51,5,0.27,0.3,2.5,0.2,87,1.68,0.39,0.04,2.24,8.34,0.139,37.27,0.139,1.413,10.165,0.0007,0.0044,0.0026,5.77,65.1,21.9,13,0.042639809,0.003027221,0.099484516,0.014162929
STEI,TOP,1.336,88,10,0.49,2.1,23.7,0.3,155,4.34,0.81,0.05,5.43,12.5,0.253,74.04,0.253,3.017,11.925,0.0009,0.0091,0.0028,5.68,61,26,13,0.223187493,0.02607719,0.181563088,0.043901141
STER,TOP,1.039,424,5,0.57,0.5,2.8,0.4,2,20.15,1.21,0.05,22.5,12.96,0.103,67.83,0.103,1.602,15.553,0.0081,0.0016,0.0042,8.41,57,20,23.1,0.059463423,0.013193317,0.15637019,0.018507776
TALL,BTM,1.148,121,47,0.15,0.1,0.8,0.2,15,0.74,0.36,0.12,1.53,5.26,0.063,94.59,0.063,0.434,6.889,,,0.79,5.69,53,18,29.1,0.029733333,0.001764833,0.033841285,0.003650171
TALL,TOP,1.111,71,7,0.2,0.5,10.4,0.1,49,1.01,0.18,0.1,1.47,5.04,0.102,75.1,0.102,2.578,25.275,,,0.77,6.17,66.9,20.1,13,0.117866667,0.009253333,0.208309773,0.026612869
TEAK,BTM,1.181,76,5,0.16,0.01,3.5,0.1,16,0.64,0.2,0.08,1.11,8.01,0.148,110.16,0.148,3.206,21.662,0.0008,0.0018,0.0034,7.25,72.9,20.2,7,0.048502858,0.002119593,0.106528448,0.011591408
TEAK,TOP,1.133,75,2,0.14,0.1,4.8,0.1,18,0.78,0.2,0.08,1.25,7.34,0.136,94.8,0.136,2.797,20.566,0.0007,0.0017,0.041,6.82,74.9,18.1,7,0.040645748,0.00340762,0.137032197,0.015907401
TREE,BTM,1.213,37,14,0.98,0.5,4.2,0.5,329,0.69,0.23,0.07,1.08,7.5,0.098,27.21,0.098,0.841,8.582,0.0007,0.0018,0.83,5.15,64.9,20.2,15,0.053752222,0.002733796,0.093660067,0.005343769
TREE,TOP,1.336,49,13,0.64,1.5,7.5,0.1,212,0.89,0.32,0.08,1.42,10.12,0.147,57.57,0.147,2.527,17.19,0.0008,0.0025,2.11,4.24,66.8,22.2,11.1,0.282224048,0.018791648,0.344141101,0.064450494
UKFS,BTM,1.313,194,16,0.36,0.7,10.4,1.3,91,10.58,3.3,0.32,14.7,37.74,0.184,169.94,0.184,2.126,11.554,0.0011,0.0028,0.0018,5.54,16.8,42.2,41.1,0.136031582,0.009827453,0.066847217,0.008370299
UKFS,TOP,1.296,382,12,0.95,4.8,14.8,0.7,50,18.83,2.42,0.13,22.36,24.16,0.413,297.39,0.413,4.576,11.08,0.0044,0.004,0.0036,6.94,16.9,50.1,33.1,0.200090033,0.031758028,0.155282626,0.029376068
UNDE,BTM,1.248,76,13,0.23,0.2,2.2,0.2,72,0.62,0.23,0.13,1.17,11,0.143,110.89,0.143,1.886,13.189,0.0005,0.002,0.0026,5.15,60.9,26.1,13.1,0.104883333,0.006218333,0.213890943,0.02815128
UNDE,TOP,1.36,76,14,0.72,3.1,17.4,0.7,262,2.68,0.87,0.07,3.81,19.15,0.293,138.25,0.293,4.117,14.051,0.0005,0.0031,0.0041,5.01,54.8,32.2,13.1,0.264666667,0.021936667,0.466673791,0.083842705
UT12,BTM,1.441,332,19,0.88,0.5,13.9,2.4,241,25.76,6.17,0.29,33.07,55.36,0.074,243.14,0.074,4.163,56.257,0.0006,0.0032,0.0013,5.87,32.8,8.2,59,0.1653,0.008436667,0.054701656,0.010245808
UT12,TOP,1.576,323,27,1,1.2,34.1,2.7,311,24.93,5.72,0.19,31.67,54.47,0.674,213.55,0.674,9.547,14.165,0.0009,0.0053,0.0011,6.05,30.8,22.1,47.1,0.196683333,0.011101667,0.146072775,0.031759675
UT19,BTM,1.142,,,,,,,,,,,,,,,,,,0.0007,0.0023,0.0015,7.63,24.9,38.1,37,0.2562,0.019926667,0.215778364,0.023001523
UT19,TOP,1.13,271,6,0.64,1,11.7,0.4,64,16.89,4.97,0.07,22.62,31.5,0.203,43.38,0.203,3.938,19.399,0.0004,0.0021,0.0023,7.35,30.8,34.2,35.1,0.193433333,0.014118333,0.349240946,0.028017405
UT23,BTM,1.11,194,6,0.41,0.3,8.1,0.4,50,14.43,1.87,0.05,16.85,21.44,0.225,36.97,0.225,2.123,9.436,0.0007,0.0021,0.002,7.04,47.1,28,25,0.151266667,0.00974,0.040761935,0.008586346
UT23,TOP,1.532,256,4,0.25,0.7,5.4,0.5,24,8.46,1.43,0.05,10.6,12.44,0.171,17.81,0.171,2.165,12.661,0.0024,0.0118,0.0008,6.76,61,28.1,11,0.9495,0.1094,,0.300050293
UT24,BTM,1.124,259,4,0.23,0.5,18.1,0.5,20,29.03,3.55,0.08,33.32,35.04,0.093,17.83,0.093,0.51,5.484,0.001,0.002,0.0013,6.07,55.2,11.9,33,0.104983333,0.004244333,0.036418027,0.005942072
UT24,TOP,1.121,411,7,0.62,1.4,57.9,0.3,60,21.41,2.94,0.08,25.48,37.37,0.314,111.32,0.314,6.886,21.93,0.0009,0.003,0.0018,6.32,45.1,28,27,0.30655,0.023435,,
UT32,BTM,1.029,,,,,,,,,,,,,,,,,,0.0007,0.0013,0.0017,6.94,69.1,16.1,14.9,0.089033333,0.007533333,0.056127008,0.011585322
UT32,TOP,1.028,237,4,0.27,0.9,6.2,0.6,24,8.2,1.41,0.06,10.28,12.22,0.177,6.11,0.177,1.961,11.079,0.0019,0.0015,0.0081,6.54,65,20.1,15,0.077,0.010313333,0.105053311,0.018839549
WLLO,BTM,1.292,47,6,0.24,20.6,25.6,5.8,34,10.26,3.32,0.06,13.76,12.64,0.18,173.89,0.18,2.536,14.089,0.0005,0.0038,0.0144,7.35,54.04,25.98,19.98,0.148773433,0.01271575,0.209358792,0.025222932
WLLO,TOP,1.303,49,4,0.23,0.01,0.7,1,7,10.79,3.53,0.07,14.52,12.8,0.188,129.85,0.188,2.513,13.367,0.0004,0.0023,0.0087,7.58,60.02,23.99,15.99,0.081898515,0.009462504,0.187065143,0.032860941
WLUP,BTM,1.353,137,13,0.63,24.1,28.5,9.5,88,9.94,3.52,2.71,16.52,13.46,0.131,157.38,0.131,1.348,10.29,0.0016,0.0007,0.0151,7.51,30.08,43.18,26.73,0.121494309,0.015619488,0.067500853,0.005974194
WLUP,TOP,1.481,117,6,0.84,0.6,5.6,0.7,4,13.88,3.31,5.81,23.3,21.94,0.356,460.22,0.356,5.589,15.699,0.0021,0.0012,0.0197,7.68,40.34,39.09,20.57,0.129148455,0.019242206,0.213558009,0.038281967
WOOD,BTM,1.057,98,7,1.22,0.3,8.9,0.7,18,13.08,3.33,0.09,16.75,17.15,0.326,461.38,0.326,3.97,12.178,0.001,0.002,0.0014,7.64,65,22.1,12.9,0.118766667,0.012011667,0.191793986,0.021089822
WOOD,TOP,1.09,226,6,0.82,1,7.5,1,14,12.48,3.18,0.24,16.48,34.65,0.335,245.24,0.335,4.009,11.967,0.0015,0.0029,0.0015,7.58,63,20.1,17,0.077583333,0.014923333,0.248394353,0.03428997
WREF,BTM,1.244,53,10,0.21,0.2,13.5,0.5,57,0.81,0.26,0.07,1.28,19.17,0.17,39.21,0.17,2.136,12.565,0.0007,0.0027,0.0055,5.45,49,38.1,13,0.097191033,0.005689467,0.144812747,0.015307099
WREF,TOP,1.221,97,14,0.41,1.1,39.5,0.4,144,1.45,0.55,0.08,2.33,25.6,0.253,47.41,0.253,8.759,34.621,0.0007,0.0022,0.0057,4.61,55,34.1,11,0.284671963,0.012137498,0.457215632,0.045656523
WSU1,BTM,1.299,31,6,0.1,0.4,1.2,1.5,21,1.13,0.19,0.03,1.43,13.6,0.081,71.46,0.081,1.611,19.889,0.0012,0.0018,0.0002,6.34,75.7,16.2,8.1,0.069432465,0.00322596,,
WSU1,TOP,1.227,38,4,0.07,0.3,1,0.3,12,1.3,0.2,0.03,1.63,10.77,0.123,79.52,0.123,3.237,26.317,0.0015,0.0037,0.0074,6.51,74.93,16.72,8.36,0.052455776,0.00360147,,
WSU2,BTM,1.294,48,6,0.07,0.2,2,1,24,1.95,0.5,0.06,2.63,15.99,0.097,78.84,0.097,2.204,22.722,0.001,0.0016,0.0009,6.8,73.36,18.45,8.2,0.090656339,0.004617733,,
WSU2,TOP,1.222,79,5,0.08,0.4,22.5,0.2,15,2.68,0.39,0.07,3.34,11.24,0.103,96.18,0.103,5.132,49.825,0.0012,0.0142,0.0034,6.37,73.64,18.25,8.11,0.111022144,0.008411634,,
WSU3,BTM,1.46,53,5,0.05,0.4,4,0.7,37,0.96,0.2,0.04,1.34,19.72,0.106,85.14,0.106,2.182,20.585,0.001,0.0016,0.0003,6.64,65.99,24.94,9.07,0.100272757,0.005607071,,
WSU3,TOP,1.424,150,11,0.07,1.3,17.1,0.2,76,2.6,0.48,0.06,3.52,34.39,0.201,145.95,0.201,6.929,34.473,0.0012,0.0016,0.0033,6.22,67.49,24.38,8.13,0.186094762,0.00982812,,
WY01,BTM,1.179,111,4,0.18,0.7,2.6,1.3,26,15.7,1.52,0.08,17.58,14.97,0.145,121.92,0.145,1.205,8.31,0.81,1.97,0.7716,7.72,56.9,24.1,19,0.04443,0.002513333,0.040782552,0.003863932
WY01,TOP,1.213,118,8,0.48,2.3,6.3,2.1,76,38.45,2.78,0.11,41.64,42.66,0.533,724.56,0.533,6.984,13.103,0.95,2.37,1.5816,7.28,54.9,28.1,17.1,0.115783333,0.009638333,0.174388554,0.013035412
WY03,BTM,1.144,,,,,,,,,,,,,,,,,,1.01,2.93,1.5021,7.13,50.9,28,21.2,0.1046,0.008476667,0.138626591,0.019451645
WY03,TOP,1.384,398,17,1.09,9.7,3.6,1.1,109,34.83,6.79,0.97,43.61,48.93,0.903,732.62,0.903,11.222,12.427,1.46,4.12,7.1301,6.68,46.8,34.1,19.2,0.119083333,0.020326667,0.318018072,0.048937831
WY09,BTM,1.217,80,7,0.17,0.6,5.8,2.1,73,29.15,4.76,0.22,34.34,35.05,0.091,75.84,0.091,1.298,14.264,0.71,1.67,2.2212,6.4,26.7,44.2,29.2,0.107733333,0.00633,0.175095366,0.010115274
WY09,TOP,1.351,133,10,0.43,2,18.4,1.7,171,24.97,3.91,0.15,29.37,34.56,0.289,313.71,0.289,4.218,14.595,0.78,3.52,2.4343,6.12,44.7,30.3,25,0.136316667,0.009515,0.126704126,0.017938511
WY10,BTM,1.193,98,7,0.23,0.3,2.8,0.2,73,15.7,1.39,0.14,17.48,19,0.232,16.52,0.232,1.688,7.276,0.7,1.99,4.3659,6.59,50.9,26,23.2,0.036591667,0.0029835,0.19345561,0.014364644
WY10,TOP,1.426,209,11,0.35,2.1,13,0.7,105,15.49,1.6,0.1,17.73,21.57,0.372,112.43,0.372,4.168,11.204,1.64,5.05,15.291,6.29,48.7,32.3,19.1,0.080516667,0.015563333,0.387631241,0.043882444
WY15,BTM,1.202,97,6,0.28,0.3,15.5,0.7,107,3.64,0.98,0.08,4.95,11.96,0.115,180.9,0.115,0.95,8.261,0.84,1.77,13.7379,5.51,62.9,20,17.1,0.051256667,0.004260833,0.051412961,0.006721934
WY15,TOP,1.199,165,12,0.46,1.7,115.7,1.1,179,6.01,1.27,0.14,7.84,27.45,0.247,59.09,0.247,6.887,27.883,0.7,1.88,9.5747,5.14,53,26.1,21,0.188716667,0.008368333,0.233027341,0.038016716